Unnamed: 0,SeqID,PAS_261_300,distance_261_300,PAS_301_350,distance_301_350,AllOligomerScore_200_260,AllOligomerScore_261_301,AllOligomerScore_290_310,AllOligomerScore_301_350,Y
0,>NC_004354.4:20156179-20156779,3.46,22,3.29,13,105.2,70.11,33.76,69.77,1
1,>NT_033778.4:23416448-23417048,3.37,32,3.22,17,123.43,64.86,24.16,84.72,1
2,>NC_004354.4:18811639-18812239,3.77,0,3.57,7,116.5,54.81,35.56,87.94,1
3,>NT_033778.4:7434493-7435093,3.74,25,3.12,42,83.86,77.42,31.58,68.1,1
4,>NT_037436.4:22694355-22694955,3.98,0,3.12,42,96.31,77.11,40.82,70.36,1
5,>NC_004354.4:6651810-6652410,3.98,22,3.98,36,102.89,102.93,40.39,117.44,1
6,>NC_004354.4:1349587-1350187,2.48,4,2.86,21,100.72,56.2,31.8,82.67,1
7,>NT_033779.5:20461561-20462161,2.97,21,3.37,43,89.54,67.36,34.0,92.1,1
8,>NT_033777.3:13026891-13027491,2.19,33,2.94,21,71.52,40.9,19.09,62.83,1
9,>NT_033779.5:9963853-9964453,3.49,8,3.12,10,103.87,77.24,28.29,76.94,1
10,>NT_033777.3:22776043-22776643,3.61,5,3.26,20,92.35,66.0,33.36,88.82,1
11,>NT_033777.3:12639836-12640436,3.61,19,3.49,13,111.35,75.04,30.4,79.92,1
12,>NT_033779.5:16663931-16664531,3.77,0,3.12,24,102.29,80.51,39.35,86.37,1
13,>NT_037436.4:21836427-21837027,3.18,3,2.82,43,119.66,62.24,37.07,67.09,1
14,>NT_033779.5:19545248-19545848,3.26,20,2.95,42,112.88,77.32,35.49,61.85,1
15,>NT_033779.5:12980993-12981593,3.25,4,3.23,10,95.55,70.89,41.09,86.19,1
16,>NT_037436.4:20024387-20024987,3.74,25,3.2,39,105.67,91.8,30.74,82.06,1
17,>NT_033777.3:19029879-19030479,3.26,29,2.31,21,91.24,73.65,17.7,53.07,1
18,>NT_033778.4:12431133-12431733,3.67,7,3.77,0,101.97,80.1,36.31,85.29,1
19,>NC_004354.4:22446912-22447512,3.26,24,3.14,5,104.06,70.33,31.92,86.06,1
20,>NT_033779.5:6467917-6468517,2.95,23,3.18,25,85.27,66.67,22.79,73.35,1
21,>NT_033777.3:30129017-30129617,3.05,24,3.49,42,96.56,64.06,30.72,85.94,1
22,>NT_033777.3:30171612-30172212,3.49,0,2.99,43,113.24,84.25,39.73,63.2,1
23,>NT_033777.3:13023322-13023922,3.67,16,2.82,43,76.42,76.72,37.3,44.42,1
24,>NT_033777.3:29814659-29815259,3.49,8,3.98,24,81.81,59.9,33.0,96.07,1
25,>NT_033778.4:9993174-9993774,2.86,12,3.09,17,97.27,54.41,24.87,70.02,1
26,>NT_033778.4:14901277-14901877,3.26,15,2.86,13,87.89,61.12,17.77,57.69,1
27,>NT_033778.4:9077254-9077854,3.37,0,2.71,43,113.96,65.23,38.76,64.13,1
28,>NT_037436.4:13666299-13666899,3.29,3,3.98,33,105.89,85.79,44.04,131.38,1
